RANK,NAME,TEAM,CUR,POS,AGE,GP,MpG,USG%,TO%,FTA,FT%,2PA,2P%,3PA,3P%,eFG%,TS%,PpG,RpG,ApG,SpG,BpG,TOpG,P+R,P+A,P+R+A,VI,ORtg,DRtg
,Luka Doncic,Lal,*,F-G,26.8,14,37.4,37.2,15.4,172,0.802,165,0.6,153,0.34,0.557,0.625,35.1,8.5,9.4,1.8,0.6,4.1,43.6,44.5,53.0,15.1,123.9,107.5
,Shai Gilgeous-Alexander,Okc,*,G,27.4,20,33.4,33.6,7.9,201,0.891,294,0.588,104,0.423,0.601,0.675,32.9,4.9,6.7,1.6,0.7,1.7,37.7,39.5,44.4,12.3,138.2,103.6
,Tyrese Maxey,Phi,*,G,25.1,18,40.0,29.8,10.4,137,0.883,233,0.519,172,0.401,0.554,0.613,31.7,4.7,7.5,1.6,0.8,2.6,36.3,39.2,43.8,10.4,125.9,114.3
,Giannis Antetokounmpo,Mil,*,F,31.0,15,30.7,37.7,15.5,154,0.636,255,0.659,22,0.455,0.661,0.673,30.9,10.9,6.6,1.0,1.0,3.4,41.9,37.5,48.5,17.0,130.3,109.2
,Donovan Mitchell,Cle,*,G,29.2,18,34.1,32.6,13.6,118,0.839,184,0.625,190,0.389,0.604,0.647,30.6,4.7,5.3,1.4,0.3,3.3,35.3,35.9,40.6,10.7,121.5,111.0
,Jalen Brunson,Nyk,*,G,29.2,16,34.4,32.1,10.3,103,0.854,220,0.545,121,0.38,0.554,0.603,29.1,3.2,6.2,0.8,0.1,2.4,32.3,35.3,38.5,9.7,123.9,112.7
,Nikola Jokic,Den,*,C,30.8,19,34.7,28.3,17.9,135,0.852,225,0.707,86,0.453,0.699,0.742,28.9,12.4,10.9,1.5,0.7,3.6,41.4,39.9,52.3,18.2,145.9,105.0
,Cade Cunningham,Det,*,G,24.2,17,36.7,33.4,15.6,135,0.815,270,0.515,109,0.312,0.501,0.559,28.8,6.4,9.4,1.2,0.7,4.1,35.2,38.2,44.6,13.1,115.6,106.5
,Jaylen Brown,Bos,*,G-F,29.1,19,32.8,36.9,13.6,120,0.767,304,0.553,114,0.351,0.545,0.582,28.8,5.8,4.5,1.2,0.4,3.5,34.7,33.3,39.2,11.1,113.4,108.7
,Anthony Edwards,Min,*,G,24.3,15,33.1,32.6,10.4,113,0.823,169,0.538,131,0.397,0.563,0.616,28.7,4.6,3.7,1.4,0.7,2.3,33.3,32.5,37.1,9.5,121.3,111.4
,Lauri Markkanen,Uta,*,F-C,28.5,18,35.8,28.2,6.1,120,0.9,206,0.553,164,0.36,0.547,0.607,28.5,6.2,2.2,0.9,0.4,1.3,34.7,30.7,36.9,8.2,126.3,119.5
,Austin Reaves,Lal,*,G,27.5,15,36.6,28.6,15.2,141,0.879,141,0.652,115,0.348,0.594,0.673,28.5,5.9,6.7,1.3,0.1,3.1,34.4,35.3,41.1,11.4,131.1,110.9
,Stephen Curry,Gol,*,G,37.7,16,31.0,33.9,13.9,86,0.919,118,0.602,192,0.391,0.592,0.641,27.9,3.7,4.0,1.3,0.6,3.1,31.6,31.9,35.6,9.6,116.1,110.5
,James Harden,Lac,*,G,36.3,19,35.9,31.9,18.4,173,0.908,150,0.52,191,0.372,0.541,0.631,27.7,5.9,8.7,1.1,0.4,4.1,33.6,36.4,42.3,12.5,122.2,118.0
,Victor Wembanyama,San,*,F-C,21.9,12,34.7,30.7,16.3,84,0.857,163,0.558,58,0.345,0.548,0.609,26.2,12.9,4.0,1.1,3.6,3.6,39.1,30.2,43.1,12.7,116.4,99.7
,Tyler Herro,Mia,*,G,25.9,3,31.4,25.9,7.3,14,1.0,32,0.563,18,0.5,0.63,0.686,25.7,5.3,3.0,1.3,0.7,1.3,31.0,28.7,34.0,9.5,131.1,110.6
,Devin Booker,Pho,*,G,29.1,21,35.9,30.0,17.4,173,0.873,263,0.521,122,0.311,0.504,0.584,25.7,4.4,6.9,1.0,0.4,3.9,30.1,32.5,37.0,10.3,117.2,112.4
,Deni Avdija,Por,*,F,24.9,19,33.9,28.2,17.6,157,0.803,191,0.539,131,0.389,0.557,0.62,25.5,6.4,5.5,0.5,0.7,3.6,31.9,31.1,37.5,11.4,120.2,112.5
,Kawhi Leonard,Lac,*,F,34.4,10,31.3,30.9,10.6,51,0.98,120,0.55,56,0.429,0.58,0.64,25.4,5.3,2.9,2.0,0.4,2.1,30.7,28.3,33.6,9.3,121.1,115.9
,Norman Powell,Mia,*,G,32.5,16,30.6,27.6,10.7,103,0.883,149,0.537,108,0.444,0.591,0.653,24.7,3.8,2.3,1.3,0.2,1.9,28.4,27.0,30.8,7.8,121.1,108.6
,Kevin Durant,Hou,*,F,37.2,14,36.1,26.3,15.0,100,0.88,172,0.535,66,0.364,0.538,0.61,24.6,4.7,3.3,1.0,0.6,3.0,29.3,27.9,32.6,8.0,121.4,109.2
,Michael Porter Jr.,Bro,*,F,27.4,16,32.6,29.3,10.5,73,0.836,150,0.593,138,0.362,0.569,0.608,24.3,7.4,3.0,0.8,0.2,2.1,31.7,27.3,34.7,10.0,116.8,117.2
,Coby White,Chi,*,G,25.8,5,30.7,31.4,14.9,37,0.811,41,0.561,44,0.341,0.535,0.597,24.2,3.0,6.2,0.8,0.0,3.0,27.2,30.4,33.4,10.0,114.8,116.2
,De'Aaron Fox,San,*,G,27.9,10,33.6,29.4,15.4,58,0.845,111,0.55,64,0.359,0.546,0.598,24.0,3.6,6.9,1.4,0.4,3.2,27.6,30.9,34.5,10.0,119.5,109.2
,Jamal Murray,Den,*,G,28.8,18,35.3,26.6,12.0,74,0.892,189,0.54,132,0.409,0.57,0.611,24.0,4.5,6.6,1.1,0.3,2.4,28.5,30.6,35.1,10.1,123.6,114.4
,Pascal Siakam,Ind,*,F,31.7,19,34.5,28.3,11.3,138,0.674,253,0.526,93,0.344,0.523,0.559,23.9,7.2,4.4,1.3,0.6,2.3,31.2,28.3,35.5,10.6,112.3,109.7
,Keyonte George,Uta,*,G,22.1,18,34.7,27.2,16.3,128,0.898,178,0.534,125,0.328,0.517,0.596,23.8,4.1,7.1,1.0,0.3,3.3,27.9,30.9,35.0,10.2,118.8,117.5
,Julius Randle,Min,*,F-C,31.0,19,33.4,27.3,15.3,132,0.811,199,0.568,99,0.354,0.555,0.615,23.1,7.6,5.6,1.2,0.2,2.8,30.6,28.7,36.3,11.9,122.5,108.3
,Franz Wagner,Orl,*,F,24.3,20,34.6,25.5,10.1,148,0.824,234,0.521,87,0.345,0.52,0.59,22.8,6.4,3.8,1.1,0.4,1.8,29.2,26.6,33.0,9.5,123.2,108.8
,Miles Bridges,Cha,*,F,27.7,20,35.3,25.3,7.8,102,0.863,187,0.513,165,0.339,0.511,0.564,22.4,6.3,3.6,0.7,0.6,1.5,28.7,26.0,32.3,9.0,119.4,116.9
,Bennedict Mathurin,Ind,*,G-F,23.4,9,33.8,26.4,16.8,65,0.815,79,0.494,59,0.39,0.533,0.6,22.2,5.7,2.4,0.8,0.1,3.1,27.9,24.7,30.3,8.0,109.5,111.1
