PlayerName,SEASON_ID,Player_ID,Game_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE
Luka Doncic,22025,1629029,0022500078,"Nov 28, 2025",LAL vs. DAL,W,40,10,18,0.556,4,9,0.444,11,11,1.0,0,5,5,11,0,1,4,4,35,15,1
Luka Doncic,22025,1629029,0022500059,"Nov 25, 2025",LAL vs. LAC,W,38,14,28,0.5,7,12,0.583,8,11,0.727,2,7,9,13,1,1,3,4,43,9,1
Luka Doncic,22025,1629029,0022500282,"Nov 23, 2025",LAL @ UTA,W,40,10,24,0.417,3,12,0.25,10,12,0.833,0,11,11,8,3,0,6,2,33,5,1
Luka Doncic,22025,1629029,0022500253,"Nov 18, 2025",LAL vs. UTA,W,34,11,22,0.5,2,10,0.2,13,16,0.813,0,5,5,10,4,0,8,4,37,10,1
Luka Doncic,22025,1629029,0022500231,"Nov 15, 2025",LAL @ MIL,W,38,9,19,0.474,5,11,0.455,18,20,0.9,1,8,9,6,1,2,3,1,41,25,1
Luka Doncic,22025,1629029,0022500045,"Nov 14, 2025",LAL @ NOP,W,40,6,16,0.375,3,8,0.375,9,13,0.692,1,6,7,12,2,1,3,1,24,30,1
Luka Doncic,22025,1629029,0022500222,"Nov 12, 2025",LAL @ OKC,L,33,7,20,0.35,1,7,0.143,4,7,0.571,1,6,7,7,2,0,4,3,19,-31,1
Shai Gilgeous-Alexander,22025,1628983,0022500305,"Nov 30, 2025",OKC @ POR,W,36,8,15,0.533,0,3,0.0,10,12,0.833,1,3,4,5,1,0,3,3,26,2,1
Shai Gilgeous-Alexander,22025,1628983,0022500075,"Nov 28, 2025",OKC vs. PHX,W,36,10,20,0.5,3,5,0.6,14,17,0.824,0,3,3,8,1,0,1,2,37,8,1
Shai Gilgeous-Alexander,22025,1628983,0022500064,"Nov 26, 2025",OKC vs. MIN,W,37,12,19,0.632,1,2,0.5,15,17,0.882,0,6,6,6,3,0,1,3,40,12,1
Shai Gilgeous-Alexander,22025,1628983,0022500280,"Nov 23, 2025",OKC vs. POR,W,30,13,18,0.722,2,3,0.667,9,9,1.0,2,3,5,7,2,0,1,3,37,27,1
Shai Gilgeous-Alexander,22025,1628983,0022500055,"Nov 21, 2025",OKC @ UTA,W,30,9,14,0.643,3,3,1.0,10,12,0.833,0,2,2,8,1,1,2,1,31,14,1
Shai Gilgeous-Alexander,22025,1628983,0022500261,"Nov 19, 2025",OKC vs. SAC,W,36,12,24,0.5,1,3,0.333,8,10,0.8,2,6,8,3,2,0,3,0,33,9,1
Shai Gilgeous-Alexander,22025,1628983,0022500247,"Nov 17, 2025",OKC @ NOP,W,29,5,9,0.556,3,5,0.6,10,10,1.0,1,1,2,8,3,1,3,3,23,32,1
Tyrese Maxey,22025,1630178,0022500304,"Nov 30, 2025",PHI vs. ATL,L,52,14,31,0.452,2,13,0.154,14,17,0.824,0,7,7,9,0,1,6,2,44,-8,1
Tyrese Maxey,22025,1630178,0022500070,"Nov 28, 2025",PHI @ BKN,W,42,7,16,0.438,2,8,0.25,6,6,1.0,0,9,9,7,1,1,1,2,22,8,1
Tyrese Maxey,22025,1630178,0022500058,"Nov 25, 2025",PHI vs. ORL,L,32,7,15,0.467,1,5,0.2,5,6,0.833,0,1,1,4,1,0,1,2,20,-30,1
Tyrese Maxey,22025,1630178,0022500275,"Nov 23, 2025",PHI vs. MIA,L,36,10,23,0.435,5,14,0.357,2,2,1.0,0,3,3,6,2,0,3,2,27,-14,1
Tyrese Maxey,22025,1630178,0022500266,"Nov 20, 2025",PHI @ MIL,W,47,18,30,0.6,6,15,0.4,12,14,0.857,0,5,5,9,3,3,5,3,54,18,1
Tyrese Maxey,22025,1630178,0022500258,"Nov 19, 2025",PHI vs. TOR,L,39,8,14,0.571,5,9,0.556,3,4,0.75,1,1,2,9,3,1,3,1,24,-2,1
